step,ts,y_real,y_linear,y_poly,y_alphabeta,y_kalman,err_linear,err_poly,err_alphabeta,err_kalman,err_rel_linear,err_rel_poly,err_rel_alphabeta,err_rel_kalman,w_pre_linear,w_pre_poly,w_pre_alphabeta,w_pre_kalman,w_linear,w_poly,w_alphabeta,w_kalman,reward_linear,reward_poly,reward_alphabeta,reward_kalman,rank_linear,rank_poly,rank_alphabeta,rank_kalman,chosen_by_error,chosen_by_weight,choices_differ,decay_share,total_reward
1,2025-12-07T16:59:21.867566+00:00,52.995002,50.0,50.0,50.0,50.0,2.995002,2.995002,2.995002,2.995002,-5.651481,-5.651481,-5.651481,-5.651481,0.0,0.0,0.0,0.0,1.5,0.5,-0.5,-1.5,4,3,2,1,1,2,3,4,linear,linear,False,2.5,10
2,2025-12-07T16:59:21.969766+00:00,55.96008,55.990005,52.995002,52.725452,55.788765,0.029925,2.965077,3.234628,0.171315,0.053476,-5.298558,-5.780241,-0.306138,1.5,0.5,-0.5,-1.5,3.0,0.0,-2.0,-1.0,4,2,1,3,1,3,4,2,linear,linear,False,2.5,10
3,2025-12-07T16:59:22.078509+00:00,58.865606,58.945107,58.895232,55.698913,58.867051,0.079501,0.029626,3.166693,0.001445,0.135055,0.050328,-5.37953,0.002454,3.0,0.0,-2.0,-1.0,2.5,0.5,-3.5,0.5,2,3,1,4,3,2,4,1,kalman,linear,True,2.5,10
4,2025-12-07T16:59:22.182231+00:00,61.68255,61.845646,61.733801,58.6429,61.800812,0.163096,0.051251,3.03965,0.118262,0.264412,0.083088,-4.927893,0.191727,2.5,0.5,-3.5,0.5,2.0,2.0,-5.0,1.0,2,4,1,3,3,1,4,2,poly,linear,True,2.5,10
5,2025-12-07T16:59:22.286702+00:00,64.382766,64.671359,64.463525,61.502945,64.629371,0.288593,0.080759,2.879821,0.246605,0.448246,0.125436,-4.472969,0.383029,2.0,2.0,-5.0,1.0,1.5,3.5,-6.5,1.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
6,2025-12-07T16:59:22.390794+00:00,66.939274,67.402534,67.058123,64.247942,67.330671,0.46326,0.118849,2.691332,0.391397,0.69206,0.177547,-4.020558,0.584704,1.5,3.5,-6.5,1.5,1.0,5.0,-8.0,2.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
7,2025-12-07T16:59:22.494620+00:00,69.326531,70.020157,69.492451,66.850212,69.870047,0.693626,0.16592,2.476318,0.543516,1.000521,0.239331,-3.571964,0.783995,1.0,5.0,-8.0,2.0,0.5,6.5,-9.5,2.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
8,2025-12-07T16:59:22.596644+00:00,71.520683,72.506052,71.742719,69.283733,72.212393,0.985369,0.222036,2.236949,0.691711,1.37774,0.31045,-3.127696,0.967148,0.5,6.5,-9.5,2.5,0.0,8.0,-11.0,3.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
9,2025-12-07T16:59:22.697544+00:00,73.499807,74.678699,73.7867,71.524192,74.328337,1.178892,0.286892,1.975616,0.82853,1.603939,0.390331,-2.687919,1.127254,0.0,8.0,-11.0,3.0,-0.5,9.5,-12.5,3.5,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
10,2025-12-07T16:59:22.803327+00:00,75.24413,76.604765,75.603921,73.549206,76.195359,1.360636,0.359792,1.694924,0.951229,1.808295,0.478166,-2.252566,1.264191,-0.5,9.5,-12.5,3.5,-1.0,11.0,-14.0,4.0,2,4,1,3,3,1,4,2,poly,poly,False,2.5,10
