step,ts,y_real,y_linear,y_poly,y_alphabeta,y_kalman,y_naive,err_linear,err_poly,err_alphabeta,err_kalman,err_naive,err_rel_linear,err_rel_poly,err_rel_alphabeta,err_rel_kalman,err_rel_naive,w_pre_linear,w_pre_poly,w_pre_alphabeta,w_pre_kalman,w_pre_naive,w_linear,w_poly,w_alphabeta,w_kalman,w_naive,reward_linear,reward_poly,reward_alphabeta,reward_kalman,reward_naive,rank_linear,rank_poly,rank_alphabeta,rank_kalman,rank_naive,chosen_by_error,chosen_by_weight,choices_differ,decay_share,total_reward
1,2025-03-10 00:30:00,0.106925,0.127089,0.127089,0.127089,0.127089,0.127089,0.020164,0.020164,0.020164,0.020164,0.020164,18.858436,18.858436,18.858436,18.858436,18.858436,0.0,0.0,0.0,0.0,0.0,1.189781,0.094891,-0.270073,-0.452555,-0.562044,2.189781,1.094891,0.729927,0.547445,0.437956,1,2,3,4,5,linear,linear,False,1.0,5.0
2,2025-03-10 01:00:00,0.08927,-0.094719,0.106925,0.106925,-0.084564,0.106925,0.183988,0.017655,0.017655,0.173834,0.017655,-100.0,19.776759,19.776759,-100.0,19.776759,1.189781,0.094891,-0.270073,-0.452555,-0.562044,0.627737,0.189781,0.919708,-0.905109,-0.832117,0.437956,1.094891,2.189781,0.547445,0.729927,5,2,1,4,3,alphabeta,alphabeta,False,1.0,5.0
3,2025-03-10 01:30:00,0.074658,-0.100243,0.050752,0.087254,-0.097025,0.08927,0.174901,0.023906,0.012596,0.171682,0.014612,-100.0,-32.020774,16.871491,-100.0,19.572395,0.627737,0.189781,0.919708,-0.905109,-0.832117,0.065693,-0.080292,2.109489,-1.357664,-0.737226,0.437956,0.729927,2.189781,0.547445,1.094891,5,3,1,4,2,alphabeta,alphabeta,False,1.0,5.0
4,2025-03-10 02:00:00,0.062153,-0.101706,0.080123,0.070694,-0.099084,0.074658,0.163859,0.01797,0.008541,0.161237,0.012504,-100.0,28.912454,13.741994,-100.0,20.118788,0.065693,-0.080292,2.109489,-1.357664,-0.737226,-0.49635,-0.350365,3.29927,-1.810219,-0.642336,0.437956,0.729927,2.189781,0.547445,1.094891,5,3,1,4,2,alphabeta,alphabeta,False,1.0,5.0
5,2025-03-10 02:30:00,0.050196,-0.102547,0.083697,0.056574,-0.097778,0.062153,0.152743,0.033501,0.006378,0.147974,0.011957,-100.0,66.740224,12.705324,-100.0,23.821101,-0.49635,-0.350365,3.29927,-1.810219,-0.642336,-1.058394,-0.620438,4.489051,-2.262774,-0.547445,0.437956,0.729927,2.189781,0.547445,1.094891,5,3,1,4,2,alphabeta,alphabeta,False,1.0,5.0
6,2025-03-10 03:00:00,0.041542,-0.105449,0.063318,0.04326,-0.097067,0.050196,0.146991,0.021775,0.001718,0.138609,0.008654,-100.0,52.417163,4.134841,-100.0,20.830955,-1.058394,-0.620438,4.489051,-2.262774,-0.547445,-1.620438,-0.890511,5.678832,-2.715328,-0.452555,0.437956,0.729927,2.189781,0.547445,1.094891,5,3,1,4,2,alphabeta,alphabeta,False,1.0,5.0
7,2025-03-10 03:30:00,0.03578,-0.105588,0.071702,0.033344,-0.089794,0.041542,0.141368,0.035921,0.002436,0.125575,0.005762,-100.0,100.0,-6.807974,-100.0,16.103931,-1.620438,-0.890511,5.678832,-2.715328,-0.452555,-2.182482,-1.160584,6.868613,-3.167883,-0.357664,0.437956,0.729927,2.189781,0.547445,1.094891,5,3,1,4,2,alphabeta,alphabeta,False,1.0,5.0
8,2025-03-10 04:00:00,0.032504,-0.102659,0.09341,0.026673,-0.075213,0.03578,0.135163,0.060906,0.005832,0.107718,0.003276,-100.0,100.0,-17.940994,-100.0,10.078418,-2.182482,-1.160584,6.868613,-3.167883,-0.357664,-2.744526,-1.430657,6.963504,-3.620438,0.832117,0.437956,0.729927,1.094891,0.547445,2.189781,5,3,2,4,1,naive,naive,False,1.0,5.0
9,2025-03-10 04:30:00,0.031164,-0.082965,0.119114,0.022821,-0.054994,0.032504,0.114129,0.087951,0.008343,0.086157,0.001341,-100.0,100.0,-26.771354,-100.0,4.302051,-2.744526,-1.430657,6.963504,-3.620438,0.832117,-3.306569,-1.883212,7.058394,-3.890511,2.021898,0.437956,0.547445,1.094891,0.729927,2.189781,5,4,2,3,1,naive,naive,False,1.0,5.0
10,2025-03-10 05:00:00,0.031925,-0.061191,0.143817,0.021192,-0.032035,0.031164,0.093116,0.111892,0.010733,0.06396,0.000761,-100.0,100.0,-33.620671,-100.0,-2.385164,-3.306569,-1.883212,7.058394,-3.890511,2.021898,-3.759124,-2.445255,7.153285,-4.160584,3.211679,0.547445,0.437956,1.094891,0.729927,2.189781,4,5,2,3,1,naive,naive,False,1.0,5.0
